config,error
[123/240] o_shank | tanh | riemann_data_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[124/240] o_shank | tanh | riemann_data_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[125/240] o_shank | tanh | riemann_spectral_data_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[126/240] o_shank | tanh | riemann_spectral_data_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[127/240] o_shank | tanh | riemann_spectral_data_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[128/240] o_shank | tanh | riemann_spectral_data_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[129/240] o_shank | tanh | riemann_quantum_interference_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[130/240] o_shank | tanh | riemann_quantum_interference_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[131/240] o_shank | tanh | riemann_quantum_interference_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[132/240] o_shank | tanh | riemann_quantum_interference_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[133/240] o_shank | tanh | riemann_advanced_data_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[134/240] o_shank | tanh | riemann_advanced_data_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[135/240] o_shank | tanh | riemann_advanced_data_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[136/240] o_shank | tanh | riemann_advanced_data_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[137/240] o_shank | tanh | zeta_data_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[138/240] o_shank | tanh | zeta_data_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[139/240] o_shank | tanh | zeta_data_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[140/240] o_shank | tanh | zeta_data_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[141/240] o_shank | tanh | riemann_data_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[142/240] o_shank | tanh | riemann_data_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[143/240] o_shank | tanh | riemann_data_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[144/240] o_shank | tanh | riemann_data_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[145/240] o_shank | tanh | riemann_spectral_data_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[146/240] o_shank | tanh | riemann_spectral_data_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[147/240] o_shank | tanh | riemann_spectral_data_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[148/240] o_shank | tanh | riemann_spectral_data_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[149/240] o_shank | tanh | riemann_quantum_interference_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[150/240] o_shank | tanh | riemann_quantum_interference_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[151/240] o_shank | tanh | riemann_quantum_interference_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[152/240] o_shank | tanh | riemann_quantum_interference_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[153/240] o_shank | tanh | riemann_advanced_data_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[154/240] o_shank | tanh | riemann_advanced_data_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[155/240] o_shank | tanh | riemann_advanced_data_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[156/240] o_shank | tanh | riemann_advanced_data_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[157/240] o_shank | tanh | zeta_data_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[158/240] o_shank | tanh | zeta_data_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[159/240] o_shank | tanh | zeta_data_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[160/240] o_shank | tanh | zeta_data_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[161/240] o_shank | rbf-s1 | riemann_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[162/240] o_shank | rbf-s1 | riemann_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[163/240] o_shank | rbf-s1 | riemann_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[164/240] o_shank | rbf-s1 | riemann_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[165/240] o_shank | rbf-s1 | riemann_spectral_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[166/240] o_shank | rbf-s1 | riemann_spectral_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[167/240] o_shank | rbf-s1 | riemann_spectral_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[168/240] o_shank | rbf-s1 | riemann_spectral_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[169/240] o_shank | rbf-s1 | riemann_quantum_interference_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[170/240] o_shank | rbf-s1 | riemann_quantum_interference_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[171/240] o_shank | rbf-s1 | riemann_quantum_interference_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[172/240] o_shank | rbf-s1 | riemann_quantum_interference_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[173/240] o_shank | rbf-s1 | riemann_advanced_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[174/240] o_shank | rbf-s1 | riemann_advanced_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[175/240] o_shank | rbf-s1 | riemann_advanced_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[176/240] o_shank | rbf-s1 | riemann_advanced_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[177/240] o_shank | rbf-s1 | zeta_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[178/240] o_shank | rbf-s1 | zeta_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[179/240] o_shank | rbf-s1 | zeta_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[180/240] o_shank | rbf-s1 | zeta_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[181/240] o_shank | rbf-s1 | riemann_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[182/240] o_shank | rbf-s1 | riemann_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[183/240] o_shank | rbf-s1 | riemann_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[184/240] o_shank | rbf-s1 | riemann_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[185/240] o_shank | rbf-s1 | riemann_spectral_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[186/240] o_shank | rbf-s1 | riemann_spectral_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[187/240] o_shank | rbf-s1 | riemann_spectral_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[188/240] o_shank | rbf-s1 | riemann_spectral_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[189/240] o_shank | rbf-s1 | riemann_quantum_interference_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[190/240] o_shank | rbf-s1 | riemann_quantum_interference_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[191/240] o_shank | rbf-s1 | riemann_quantum_interference_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[192/240] o_shank | rbf-s1 | riemann_quantum_interference_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[193/240] o_shank | rbf-s1 | riemann_advanced_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[194/240] o_shank | rbf-s1 | riemann_advanced_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[195/240] o_shank | rbf-s1 | riemann_advanced_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
